Date,tavg,prcp,wdir,wspd,pres
2021-10-03,58.0,0.0,11.0,2.9,1018.1
2021-10-04,59.6,0.0,12.0,1.2,1013.3
2021-10-06,55.0,0.043,199.0,8.9,1016.9
2021-10-07,49.0,0.0,15.0,3.0,1019.4
2021-10-08,48.5,0.0,353.0,1.0,1015.8
2021-10-10,52.7,0.0,249.0,9.2,1014.5
2021-10-11,46.9,0.0,358.0,2.2,1019.3
2021-10-13,45.0,0.071,309.0,3.4,1015.8
2021-10-13,45.0,0.071,309.0,3.4,1015.8
2021-10-14,50.3,0.012,319.0,3.5,1021.8
2021-10-15,51.1,0.0,156.0,3.5,1022.4
2021-10-18,49.1,0.0,0.0,1.4,1009.6
2021-10-18,49.1,0.0,0.0,1.4,1009.6
2021-10-19,49.6,0.0,14.0,2.1,1013.2
2021-10-20,52.0,0.091,44.0,5.3,1013.3
2021-10-22,52.3,0.252,204.0,5.7,1008.0
2021-10-22,52.3,0.252,204.0,5.7,1008.0
2021-10-26,49.1,0.083,212.0,10.7,1008.8
2021-10-26,49.1,0.083,212.0,10.7,1008.8
2021-10-29,52.2,0.528,258.0,7.1,1013.3
2021-11-02,49.1,0.0,352.0,1.9,1024.9
2021-11-05,46.0,0.039,229.0,5.5,1015.2
2021-11-05,46.0,0.039,229.0,5.5,1015.2
2021-11-08,45.9,0.0,52.0,4.1,1019.9
2021-11-09,42.1,0.15,124.0,7.5,1012.0
2021-11-10,38.7,0.0,344.0,3.5,1025.7
2021-11-12,43.9,0.425,350.0,1.1,1021.4
2021-11-12,43.9,0.425,350.0,1.1,1021.4
2021-11-14,54.9,0.122,229.0,17.3,1012.2
2021-11-16,40.3,0.012,284.0,7.5,1022.9
2021-11-16,40.3,0.012,284.0,7.5,1022.9
2021-11-18,39.0,0.224,7.0,1.1,1019.2
2021-11-19,37.6,0.358,359.0,0.3,1018.9
2021-11-22,32.7,0.0,348.0,1.9,1020.9
2021-11-30,50.4,0.016,205.0,7.6,1020.6
2021-12-13,41.0,0.071,81.0,7.1,1001.7
2021-12-16,33.8,0.091,291.0,4.3,1013.0
2022-01-12,39.0,0.13,42.0,3.5,1024.2
2022-01-13,33.3,0.0,14.0,1.6,1023.8
2022-01-15,34.3,0.0,0.0,1.9,1028.9
2022-01-15,34.3,0.0,0.0,1.9,1028.9
2022-01-20,37.4,0.559,303.0,3.8,1022.5
2022-01-24,30.0,0.0,339.0,1.9,1026.6
2022-01-27,30.4,0.0,0.0,1.8,1037.8
2022-01-28,31.9,0.0,357.0,1.1,1035.2
2022-01-31,32.7,0.0,257.0,7.8,1018.4
2022-02-02,22.1,0.031,54.0,4.0,1028.7
2022-02-03,26.4,0.012,11.0,1.3,1031.0
2022-02-08,36.9,0.0,5.0,2.8,1033.0
2022-02-09,39.0,0.0,0.0,0.7,1031.8
2022-02-10,37.4,0.0,334.0,2.3,1026.5
2022-02-16,37.4,0.0,323.0,3.0,1020.9
2022-02-17,37.4,0.0,250.0,5.3,1025.6
2022-02-24,20.7,0.031,296.0,3.0,1030.4
2022-02-26,35.0,0.0,6.0,1.1,1031.2
2022-03-02,49.4,0.201,359.0,1.2,1017.3
2022-03-02,49.4,0.201,359.0,1.2,1017.3
2022-03-14,45.1,0.091,209.0,9.1,1020.1
2022-03-15,47.8,0.185,238.0,9.6,1015.3
2022-03-16,43.0,0.0,249.0,6.5,1023.0
2022-03-21,40.8,0.122,213.0,6.4,1027.3
2022-03-23,50.0,0.209,85.0,6.8,1020.3
2022-03-28,54.5,0.0,241.0,5.3,1004.8
2022-03-29,52.7,0.0,321.0,4.7,1013.0
2022-03-30,48.9,0.008,226.0,12.4,1014.8
2022-04-01,43.3,0.0,195.0,6.5,1017.1
2022-04-02,46.6,0.138,234.0,8.9,1017.0
2022-04-04,45.7,0.378,230.0,19.4,1000.0
2022-04-06,40.8,0.0,166.0,5.0,1032.5
2022-04-14,36.7,0.15,69.0,7.6,1011.5
2021-10-05,51.0,0.0,326.0,3.3,1009.7
2021-10-09,43.8,0.0,309.0,4.7,1019.9
2021-10-12,40.6,0.0,357.0,2.0,1020.2
2021-10-16,46.9,0.0,20.0,3.0,1017.8
2021-10-17,51.6,0.0,6.0,1.2,1006.3
2021-10-21,47.4,0.0,27.0,3.7,1017.1
2021-10-23,45.1,0.083,209.0,5.5,1007.2
2021-10-24,44.0,0.335,76.0,8.6,997.3
2021-10-25,43.9,0.122,139.0,6.3,1000.9
2021-10-27,48.7,0.0,236.0,10.2,1019.3
2021-10-28,45.0,0.114,209.0,9.8,1017.8
2021-10-30,34.8,0.0,18.0,3.6,1024.7
2021-10-31,33.8,0.0,14.0,2.2,1022.1
2021-11-03,40.4,0.0,8.0,0.7,1021.5
2021-11-04,36.6,0.299,299.0,7.0,1009.5
2021-11-06,37.9,0.031,161.0,5.7,1014.8
2021-11-07,41.5,0.0,216.0,8.5,1019.7
2021-11-11,39.0,0.287,19.0,2.5,1026.2
2021-11-13,41.0,0.102,14.0,1.7,1024.6
2021-11-15,37.4,0.098,221.0,16.3,1005.8
2021-11-17,29.7,0.0,17.0,1.7,1031.5
2021-11-20,35.4,0.0,342.0,1.9,1031.3
2021-11-21,35.2,0.0,7.0,0.8,1031.9
2021-11-23,34.2,0.343,321.0,2.7,1014.3
2021-11-24,34.7,0.0,322.0,2.4,1030.5
2021-11-25,33.1,0.02,37.0,3.0,1026.2
2021-11-26,37.0,0.02,345.0,2.7,1020.5
2021-11-27,39.5,0.236,28.0,2.5,1021.6
2021-11-28,41.5,0.0,221.0,11.6,1018.2
2021-11-29,44.6,0.0,296.0,3.6,1022.4
2021-12-01,48.3,0.0,224.0,9.3,1017.5
2021-12-02,43.7,0.0,247.0,6.0,1018.7
2021-12-03,35.6,0.0,1.0,0.3,1024.2
2021-12-04,36.3,0.055,316.0,3.2,1017.3
2021-12-05,29.5,0.0,352.0,3.5,1030.5
2021-12-06,27.3,0.146,6.0,1.3,1021.4
2021-12-07,30.9,0.0,4.0,0.4,1017.5
2021-12-08,36.9,0.0,286.0,5.2,1007.5
2021-12-09,31.6,0.043,246.0,4.6,1011.2
2021-12-10,32.9,0.004,227.0,7.4,1016.4
2021-12-11,30.3,0.118,205.0,18.1,1002.4
2021-12-12,38.1,0.043,233.0,9.1,1003.3
2021-12-14,34.9,0.0,241.0,5.2,1006.2
2021-12-15,30.0,0.0,33.0,2.1,1013.6
2021-12-17,19.2,0.0,8.0,1.2,1028.9
2021-12-18,32.4,0.299,353.0,6.2,1016.6
2021-12-19,27.1,0.0,330.0,3.2,1015.2
2021-12-20,26.2,0.122,358.0,0.6,1020.5
2021-12-21,24.4,0.028,2.0,1.7,1021.7
2021-12-22,35.4,0.252,0.0,2.1,1008.2
2021-12-23,37.9,0.051,228.0,11.6,994.7
2021-12-24,34.5,0.071,193.0,7.4,994.4
2021-12-25,32.9,0.008,196.0,8.1,998.1
2021-12-26,28.2,0.043,244.0,5.4,997.4
2021-12-27,19.4,0.024,281.0,4.9,1006.3
2021-12-28,13.3,0.0,347.0,2.2,1010.2
2021-12-29,13.1,0.0,324.0,4.2,1012.7
2021-12-30,14.9,0.177,4.0,1.7,1006.3
2021-12-31,14.5,0.0,272.0,3.3,1015.6
2022-01-01,14.0,0.0,347.0,2.2,1027.9
2022-01-02,18.5,0.0,15.0,1.1,1020.0
2022-01-03,20.8,0.13,197.0,9.4,1003.1
2022-01-04,24.1,0.039,235.0,5.2,1015.6
2022-01-05,28.6,0.114,318.0,2.1,1019.2
2022-01-06,28.2,0.622,48.0,3.2,1010.0
2022-01-07,30.3,0.421,230.0,15.8,996.5
2022-01-08,29.3,0.0,313.0,4.3,1021.8
2022-01-09,25.7,0.0,3.0,0.9,1034.3
2022-01-10,25.7,0.0,7.0,0.6,1034.1
2022-01-11,33.2,0.122,25.0,2.7,1027.7
2022-01-14,33.1,0.0,11.0,1.6,1034.8
2022-01-16,32.2,0.0,25.0,1.7,1025.8
2022-01-17,33.3,0.0,6.0,2.3,1017.6
2022-01-18,31.2,0.02,324.0,2.2,1018.8
2022-01-19,36.7,0.004,9.0,0.6,1027.7
2022-01-21,33.4,0.0,313.0,2.8,1032.5
2022-01-22,30.4,0.0,3.0,0.5,1035.3
2022-01-23,30.2,0.0,20.0,1.4,1030.3
2022-01-25,31.3,0.0,30.0,2.4,1030.4
2022-01-26,31.8,0.0,344.0,2.3,1029.5
2022-01-29,27.1,0.0,11.0,1.2,1029.7
2022-01-30,31.3,0.024,344.0,2.0,1020.2
2022-02-01,28.8,0.0,297.0,3.7,1023.2
2022-02-04,33.1,0.0,323.0,3.0,1028.9
2022-02-05,35.4,0.0,320.0,3.2,1031.4
2022-02-06,32.4,0.0,3.0,0.9,1033.2
2022-02-07,36.1,0.0,315.0,3.4,1026.7
2022-02-11,33.4,0.0,7.0,1.5,1032.1
2022-02-12,32.9,0.0,2.0,1.1,1032.1
2022-02-13,34.3,0.0,7.0,0.7,1025.7
2022-02-14,36.9,0.039,332.0,3.9,1012.4
2022-02-15,37.4,0.0,328.0,1.8,1016.2
2022-02-18,36.3,0.0,356.0,3.7,1026.3
2022-02-19,35.9,0.0,244.0,8.3,1013.8
2022-02-20,38.3,0.012,253.0,7.5,1008.2
2022-02-21,25.2,0.15,54.0,11.4,1014.0
2022-02-22,15.4,0.0,38.0,10.0,1027.7
2022-02-23,15.1,0.0,322.0,2.7,1030.0
2022-02-25,21.2,0.0,17.0,1.4,1034.5
2022-02-27,37.0,0.122,60.0,3.9,1025.4
2022-02-28,45.5,0.638,188.0,7.2,1016.1
2022-03-01,44.7,0.02,240.0,7.5,1017.3
2022-03-03,38.4,0.433,310.0,3.0,1014.1
2022-03-04,36.1,0.0,341.0,2.3,1016.4
2022-03-05,35.6,0.0,348.0,0.9,1020.6
2022-03-06,37.0,0.0,2.0,2.6,1027.3
2022-03-07,42.3,0.0,271.0,3.7,1025.5
2022-03-08,39.7,0.0,17.0,7.5,1020.7
2022-03-09,28.9,0.0,19.0,6.9,1024.5
2022-03-10,30.2,0.0,285.0,4.8,1026.3
2022-03-11,35.2,0.024,20.0,2.9,1025.0
2022-03-12,44.4,0.0,358.0,2.9,1013.3
2022-03-13,44.4,0.0,358.0,2.9,1013.3
2022-03-17,39.5,0.0,327.0,5.4,1021.1
2022-03-18,38.0,0.047,242.0,5.2,1017.7
2022-03-19,36.3,0.13,205.0,6.0,1010.5
2022-03-20,39.2,0.012,230.0,8.3,1020.8
2022-03-22,41.0,0.0,115.0,4.0,1030.0
2022-03-24,45.5,0.0,305.0,3.8,1022.8
2022-03-25,46.8,0.0,59.0,4.3,1017.2
2022-03-26,49.8,0.0,110.0,4.2,1014.1
2022-03-27,54.0,0.0,45.0,3.9,1006.0
2022-03-31,43.3,0.012,228.0,7.7,1016.8
2022-04-03,45.7,0.0,163.0,8.1,1013.9
2022-04-05,42.1,0.004,234.0,13.7,1018.4
2022-04-07,48.6,0.0,77.0,5.2,1028.5
2022-04-08,48.6,0.205,207.0,12.6,1016.0
2022-04-09,40.8,0.047,228.0,11.7,1017.0
2022-04-10,35.2,0.039,218.0,6.3,1012.2
2022-04-11,35.2,0.02,53.0,11.9,1001.2
2022-04-12,36.9,0.02,59.0,11.1,1013.5
2022-04-13,37.6,0.0,66.0,11.3,1016.2
